,tactic_id,impression_pixel_json,StatusCodes,Status
211,336387,https://ad.atdmt.com/i/img;p=11142202536676;a=11142202567394;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
212,335399,https://ad.doubleclick.net/ddm/ad/N3382.668587.AODDISPLAY/B9494317.129165673;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
213,336384,https://ad.atdmt.com/i/img;p=11142202536676;a=11142202567424;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
217,336393,https://ad.atdmt.com/i/img;p=11142202565631;a=11142202567426;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
223,331189,https://ad.atdmt.com/i/img;p=11042208843839;a=11042208875590;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
224,334386,"https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16422395&PluID=0&ord=[timestamp]&rtu=-1"",""https://magnetic.domdex.com/ahtm?mp=2&n=10804&c=105252&b=116445&sz=88x31&s=${REFERER_URL_ENC}&id=${AUCTION_ID}&a=${PRICE_PAID}",200,OK
226,334196,https://ad.doubleclick.net/ddm/ad/N6041.288332.ACCUEN/B9299337.127593479;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
227,336750,https://ad.doubleclick.net/ddm/ad/N9407.127315CENTRO/B9331338.129004754;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
228,336742,https://ad.doubleclick.net/ddm/ad/N9407.127315CENTRO/B9318883.129090233;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
229,330381,https://adfarm.mediaplex.com/ad/tr/25706-185705-37846-432?mpt=[CACHEBUSTER],200,OK
231,339067,https://ad.doubleclick.net/ddm/ad/N6401.291800MAGNETICMEDIAONLINE/B9640898.130846104;sz=1x1;ord=${CACHEBUSTER};dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
234,334109,https://ad.doubleclick.net/ddm/trackimp/N2713.285985MEDIAIQ/B9355574.127387669;dc_trk_aid=300944744;dc_trk_cid=68334581;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
239,339947,"https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.130835464;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31751?limit=1",200,OK
240,335372,https://ad.atdmt.com/i/img;p=11142202565630;a=11142202567426;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
241,334932,"http://servedby.flashtalking.com/imp/1/48750;1707164;201;pixel;AccordantMedia;1x1Native/?cachebuster=[CACHEBUSTER]""/>",200,OK
243,335605,"https://ad.doubleclick.net/ddm/trackimp/N2724.1264338TRIPLELIFTINC/B9370641.127465418;dc_trk_aid=300499851;dc_trk_cid=67953415;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?"",""http://tags.bluekai.com/site/31103?limit=1",200,OK
244,339656,https://ad.doubleclick.net/ddm/ad/N5446.291508ACCUENMEDIA/B9397354.130466192;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
246,337908,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130417015;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
253,337774,https://ad.doubleclick.net/ddm/trackimp/N2724.1852769TRIPLELIFT.COM/B9457112.128485013;dc_trk_aid=301468801;dc_trk_cid=66292004;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
254,331741,https://ad.doubleclick.net/ddm/ad/N149404.2079317MEDIAMATHPROGRAMM/B9245057.126227021;sz=1x1;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
257,323274,https://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=13572813&PluID=0&ord=[timestamp]&rtu=-1,200,OK
262,329054,https://ad.doubleclick.net/ddm/ad/N6344.468584.AMNET/B9072632.122966431;sz=1x1;ord=[timestamp]?,200,OK
268,325490,https://ad.atdmt.com/i/img;p=11022202350683;a=11022202350761;idfa=;idfa_lat=;aaid=;aaid_lat=;cache=,200,OK
269,339663,https://ad.doubleclick.net/ddm/trackimp/N9609.668587AODDISPLAY/B9596161.131452092;dc_trk_aid=304211138;dc_trk_cid=70515382;ord=[timestamp];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?,200,OK
